resort_name,local_name,country,region,ski_area,type,opening_date_2026_27,opening_date_status,max_elevation_m,piste_km,ticket_price_min,ticket_price_max,currency,price_status,driving_distance_km_from_milan,driving_time_h_from_milan,road_head,freeride_score_0_5,ski_touring_score_0_5,score_notes,webcam_url,comments,sources,confidence
Megève,,FR,Haute-Savoie,Evasion Mont-Blanc,Non-glacier,2026-12-05,confirmed_2026_27,2353,400,65.0,65.0,EUR,published_2026_27,273,3.60,,3.0,3.0,"Mainly groomed-piste resort; limited off-piste at Cote 2000/Mont Joly; modest local touring (Mont Joly, Aiguille Croche).",https://www.megeve-tourisme.fr/en/informations-pratiques/infos-live/webcams/,"Base = Rochebrune cable car and car park. Route via Mont Blanc tunnel-Sallanches. 2025/26: exceptional Cote 2000 opening 29-30 Nov 2025 (25 EUR day), Mont d'Arbois 8-12 Dec, general 20 Dec 2025-6 Apr 2026. 2026/27: partial 5-6 Dec (Cote 2000, Mont d'Arbois), general 19 Dec 2026-4 Apr 2027. Price = Evasion Mont-Blanc 1-day haute saison 2026/27 (65 EUR; 12-18 Dec 52 EUR) as published by the Saint-Gervais and Portes du Mont-Blanc lift-co sites; Megève 2025/26 PDF was 63.50. Top 2353 m = Mont Joly (Saint-Gervais sector), Megève's own sectors are lower; bergfex quotes 1113-2350 m and Evasion 445 km.",https://forfait.megeve.com/hiver/en/ski-area-opening-information/ | https://forfait.megeve.com/hiver/wp-content/uploads/sites/7/2025/07/2025-2026-tarifs-Evasion-FR.pdf | https://www.ski-saintgervais.com/fr/tarifs-evasion-mont-blanc | https://www.lesportesdumontblanc.fr/hiver/tarifs-hiver-ski-portes-du-mont-blanc-et-evasion/ | https://www.skiresort.com/en/ski-resort/megeve-saint-gervais/ | https://www.bergfex.com/megeve/ | https://www.alti-mag.com/dates-douverture-stations-ski,medium
Méribel,,FR,Savoie,3 Vallées,Non-glacier,2026-12-05,confirmed_2026_27,2952,150,71.2,71.2,EUR,published_2026_27,372,4.44,,3.5,3.0,"Mont Vallon and Gebroulaz glacier itineraries plus Roc de Fer/Col du Fruit off-piste, but a mainly on-piste family resort; touring limited to the Vanoise fringe (Refuge du Saut).",https://www.meribel.net/en/practical-information/webcams/,"Incl. Meribel-Mottaret; Meribel valley day price not shown in static HTML of the official shops (2026/27 high season 19 Dec-2 Apr: 2-day 142.40 EUR, 6-day 356 EUR; 3 Vallees day 84.20 EUR) - left blank; valley km not stated on official pages fetched; Mont Vallon 2952 m from Wikipedia cross-check",https://www.meribel.net/informations-pratiques/ouverture-plan-pistes-3-vallees/ | https://www.les3vallees.com/en/live/lifts-and-trails-opening | https://www.skipassmeribelmottaret.com/en/meribel-skipass-prices | https://www.meribel.net/forfaits-de-ski-meribel-et-3-vallees/ | https://www.meribel.net/en/ski-area/ | https://en.wikipedia.org/wiki/M%C3%A9ribel | https://www.skiresort.com/en/ski-resort/les-3-vallees-val-thorens-les-menuires-meribel-courchevel/ | https://www.meribel.net/en/practical-information/webcams/ | https://www.meribel.net/forfaits-de-ski-meribel-et-3-vallees/ | https://www.skipassmeribelmottaret.com/en/meribel-skipass-prices,low
Oz-en-Oisans,,FR,Isère,Alpe d'Huez Grand Domaine,Glacier + non-glacier,2026-12-05,confirmed_2026_27,3330,250,66.0,66.0,EUR,estimated_from_2025_26,333,4.75,,3.5,3.0,"Oz's Poutran gondolas give direct access to Grand Domaine off-piste (Vaujany couloirs, Alpette, Sarenne) but the resort itself is small and family-focused; local touring options are limited.",https://www.oz-en-oisans.com/ete/infos-pratiques/infos-live/webcams/,"Purpose-built Oz station at 1350 m (marketed as Oz 3300), gondolas to L'Alpette and Alpe d'Huez; type reflects glacier terrain reached via the linked Grand Domaine; Grand Domaine pass is the standard product and sector passes were not verified; webcam page sits under the summer path but is the live multi-cam page; 2026/27 day price not yet published. Milan route forced via Bourg-d'Oisans to avoid closed Glandon.",https://skipass.alpedhuez.com/hiver/en/ | https://www.skiinfo.fr/alpe-dhuez-grand-domaine-ski/dates-ouverture-stations | https://www.agencehenry.com/alpe-dhuez-2025-2026-ouverture-du-domaine-tarifs-promos-et-bons-plans-pour-skier-moins-cher.html | https://www.skiresort.com/en/ski-resort/alpe-dhuez/ | https://www.oz-en-oisans.com/ete/infos-pratiques/infos-live/webcams/,medium
Risoul,,FR,Hautes-Alpes,La Forêt Blanche (Vars–Risoul),Non-glacier,2026-12-05,confirmed_2026_27,2750,185,58.0,58.0,EUR,published_2026_27,294,4.05,,3.0,3.0,"Family resort, mostly on-piste; tree skiing and Foret Blanche off-piste shared with Vars but little freeride profile; limited local touring (Pointe de Razis, Col de Valbelle).",https://www.risoul.com/webcams.html,"2026/27: reduced-domain pre-opening 5-11 Dec 2026 then full opening 12 Dec 2026-11 Apr 2027 (official); Labellemontagne operator, card 2 EUR, web-only promos (e.g. Saturday pass 46.50 instead of 58 in 2025/26); no Risoul-only day pass found in shop; access from Guillestre (D902/D186).",https://www.risoul.com/le-domaine-skiable-de-risoul-la-foret-blanche.html | https://www.risoul.com/achat-tarifs-forfaits.html | https://risoul.labellemontagne.com/fr/ | https://france3-regions.franceinfo.fr/provence-alpes-cote-d-azur/alpes-maritimes/carte-saison-d-hiver-2025-2026-voici-toutes-les-dates-d-ouverture-des-stations-de-ski-des-alpes-du-sud-3229196.html | https://mesinfos.fr/provence-alpes-cote-d-azur/ouverture-des-stations-de-ski-la-saison-20252026-dans-les-hautes-alpes-233012.html | https://www.skiresort.com/en/ski-resort/vars-risoul-la-foret-blanche/,medium
Serre Chevalier,,FR,Hautes-Alpes,Serre Chevalier Vallée,Non-glacier,2026-12-05,confirmed_2026_27,2800,250,65.5,65.5,EUR,estimated_from_2025_26,253,3.30,,4.0,4.0,"Renowned off-piste in the Monetier/Yret, Cucumelle and Tabuc sectors with a strong guide-bureau scene; the adjacent Col du Lautaret-Cerces-Ecrins zone is one of France's densest day-touring areas (Camptocamp).",https://www.serre-chevalier.com/en/ski-area/webcam-live-serre-chevalier-briancon,"2025/26 peak price valid 20 Dec 2025-27 Mar 2026 (early season 52.50); 2026/27 prices not yet official (forum reports 68 EUR day pass); Briancon sector opened one week later (13 Dec 2025); from Italy via Col de Montgenevre (open all year); base = Chantemerle (Saint-Chaffrey) cable-car village, OSM hamlet point ~300 m from lift.",https://www.serre-chevalier.com/fr/blog/savoir-hiver-2025-2026-serre-chevalier | https://www.serrechevalier-pass.com/en/price-list | https://www.brianconnais.info/glisse/forfaits-ski-alpin/forfaits-ski-serre-chevalier/ | https://www.serreche-ski.net/topic/2599-saison-20252026/page/2/ | https://www.serreche-ski.net/topic/2598-tarifs-20252026/ | https://mesinfos.fr/provence-alpes-cote-d-azur/ouverture-des-stations-de-ski-la-saison-20252026-dans-les-hautes-alpes-233012.html | https://www.skiresort.com/en/ski-resort/serre-chevalier-briancon-chantemerle-villeneuve-la-salle-le-monetier-les-bains/,medium
Val d'Allos–La Foux,,FR,Alpes-de-Haute-Provence,Espace Lumière,Non-glacier,2026-12-05,confirmed_2026_27,2600,180,51.0,51.0,EUR,published_2026_27,453,6.21,,3.0,3.0,Wide sunny bowls with modest off-piste and no competition history; Haut-Verdon/Mercantour touring is decent but limited in variety.,https://www.valdallos.com/webcams.html,"Partial pre-opening 6-7 Dec 2025 announced by Allos town hall, not independently confirmed as held (continuous 13 Dec 2025); 2026/27 day pass 51 EUR (+3 EUR card); top 2600 m = Espace Lumiere high point at La Foux (alti-mag says 2570 m); Col d'Allos (D908) and Col de la Cayolle closed in winter, so no direct road from Barcelonnette/Italy - access via Digne-les-Bains/Colmars (long detour); Espace Lumiere link can stay shut early season. Milan route forced via Nice to avoid closed Allos.",https://www.valdallos.com/les-stations-de-ski-du-val-d-allos.html | https://www.valdallos.com/skipass.html | https://mesinfos.fr/04260-allos/alpes-de-haute-provence-ouvertures-partielles-anticipees-pour-les-stations-du-val-d-allos-235341.html | https://www.alti-mag.com/stations/val-dallos-la-foux | https://www.praloup.com/100-neige/domaine-skiable/ | https://france3-regions.franceinfo.fr/provence-alpes-cote-d-azur/alpes-maritimes/carte-saison-d-hiver-2025-2026-voici-toutes-les-dates-d-ouverture-des-stations-de-ski-des-alpes-du-sud-3229196.html | https://www.skiresort.com/en/ski-resort/espace-lumiere-pra-loup-val-dallos/,medium
Valloire,,FR,Savoie,Galibier-Thabor,Non-glacier,2026-12-05,confirmed_2026_27,2750,160,54.9,54.9,EUR,published_2026_27,276,3.44,,3.0,3.5,"Some lift-served off-piste (Crey du Quart and Setaz combes, Thabor side) but no freeride competition pedigree; well-known spring touring base for Galibier, Cerces and Aiguilles d'Arves classics (Grand Galibier, Pointe des Cerces).",https://www.valloire.net/en/webcams-valloire/,"Col du Galibier closed in winter (access via Saint-Michel-de-Maurienne and Col du Telegraphe, kept open); 2025/26 first lifts = planned pre-opening weekend 6-7 Dec 2025 on one massif at 20 EUR, operation not independently confirmed, Valloire-only 13-19 Dec then full Galibier-Thabor 20 Dec 2025; 2026/27 pattern identical (5-6 Dec pre-opening, Valloire-only 12-18 Dec, full domain 19 Dec 2026-9 Apr 2027); 2025/26 adult day 53.60; cheaper Valloire-only pass exists only in the early-season week.",https://www.mairie-valloire.fr/InfoliveDocuments/galibier_thabor-tarifs_publics_hiver_2025-26.pdf | https://www.valloire.net/en/profiter-de-valloire/le-ski/sur-les-pistes/ouverture-des-pistes/ | https://skipass.valloire.com/fr/tous-les-tarifs | https://www.skipass-valmeinier.com/media/download/valmeinierb2c/cms/media/GT%20TP%202627%20fr.pdf | https://www.skipass-valmeinier.com/fr/ | https://www.skiresort.com/en/ski-resort/galibier-thabor-valmeinier-valloire/ | https://www.france-montagnes.com/experiences/dates-douverture-des-domaines-skiables-saison-25-26/,medium
Vars,,FR,Hautes-Alpes,La Forêt Blanche (Vars–Risoul),Non-glacier,2026-12-05,confirmed_2026_27,2750,185,58.0,58.0,EUR,published_2026_27,297,4.10,,3.5,3.5,"Regular FWQ/Vars freeride events and Eyssina-Chabrieres off-piste give a real but not world-famous scene; good local touring toward Col de Vars, Parpaillon and the Queyras edge.",https://www.vars.com/winter/infolive/webcams/,58 EUR quoted on the Vars OT 2026/27 pass page (Friday web offer 46.40) and as base price in the Risoul 2025/26 shop; official 26/27 tariff PDF is image-only; 6 Dec 2025 pre-opening was weather-dependent and not independently confirmed (full domain 12-13 Dec 2025); Col de Vars (D902) normally open in winter: from Italy via Col de Larche-Barcelonnette-Col de Vars or via Briancon-Guillestre; main base Les Claux (Sainte-Marie is the first village from Guillestre).,https://www.vars.com/winter/ | https://www.vars.com/winter/on-site-activities/skiing-and-snowboarding/the-ski-area/ | https://www.vars.com/winter/on-site-activities/skiing-and-snowboarding/the-ski-area/buy-my-package/ | https://risoul.labellemontagne.com/fr/ | https://france3-regions.franceinfo.fr/provence-alpes-cote-d-azur/alpes-maritimes/carte-saison-d-hiver-2025-2026-voici-toutes-les-dates-d-ouverture-des-stations-de-ski-des-alpes-du-sud-3229196.html | https://mesinfos.fr/provence-alpes-cote-d-azur/ouverture-des-stations-de-ski-la-saison-20252026-dans-les-hautes-alpes-233012.html | https://www.skiresort.com/en/ski-resort/vars-risoul-la-foret-blanche/,medium
Vaujany,,FR,Isère,Alpe d'Huez Grand Domaine,Glacier + non-glacier,2026-12-05,confirmed_2026_27,3330,250,66.0,66.0,EUR,estimated_from_2025_26,332,4.71,,3.5,3.5,"Vaujany sector (Dome des Rousses 2800 m, Montfrais) offers steep, less-tracked off-piste inside the Grand Domaine; touring towards the Grandes Rousses, Etendard and Col du Sabot is documented and the village is quieter than Alpe d'Huez.",https://www.vaujany.com/en/live/webcams/,"Village at 1250 m with a large cable car to L'Alpette/Dome des Rousses (base = cable-car station in the village); type reflects glacier terrain reached via the linked Grand Domaine (Sarenne), none in the Vaujany sector itself; Grand Domaine pass is the standard product and sector-only passes were not verified; 2026/27 day price not yet published. Milan route forced via Bourg-d'Oisans to avoid closed Glandon.",https://skipass.alpedhuez.com/hiver/en/ | https://www.france-montagnes.com/experiences/dates-douverture-des-domaines-skiables-saison-25-26/ | https://www.skiinfo.fr/alpe-dhuez-grand-domaine-ski/dates-ouverture-stations | https://www.agencehenry.com/alpe-dhuez-2025-2026-ouverture-du-domaine-tarifs-promos-et-bons-plans-pour-skier-moins-cher.html | https://www.skiresort.com/en/ski-resort/alpe-dhuez/ | https://www.vaujany.com/en/live/webcams/,medium
Avoriaz,,FR,Haute-Savoie,Portes du Soleil,Non-glacier,2026-12-11,confirmed_2026_27,2254,600,69.0,73.0,EUR,published_2026_27,319,4.35,Avoriaz entrance car parks (1800 m),3.5,2.5,"Hauts Forts, Fornet and the Swiss Wall/Chavanette give strong lift-served off-piste; touring limited (resort-based).",https://www.avoriaz.com/en/webcam/,"Car-free resort: drive to the paid entrance car parks at 1800 m (coordinates given) or park at Les Prodains (46.18893, 6.75595) and take the Prodains Express cable car. 2025/26: pre-opening 29-30 Nov and 6-7 Dec 2025, official 12 Dec 2025-19 Apr 2026. 2026/27: 11 Dec 2026-18 Apr 2027. Avoriaz-only pass 43-55 EUR (dynamic, 2026/27), km not published; Portes du Soleil 69 EUR online/73 desk until 19 Mar 2027 (+3 EUR card). Top: skiresort.com Portes du Soleil lift-served 2254 m; marketing quotes 2466 m (Hauts Forts summit). Access from Italy via Pas de Morgins or Geneva-Thonon.",https://www.skipass-avoriaz.com/en/winter/pricing | https://www.avoriaz.com/en/discover/discover/ski-area-and-maps/ | https://www.avoriaz.com/en/winter/pre-opening/ski-area/ | https://www.mon-sejour-en-montagne.com/actualites/du-ski-ce-week-end-a-avoriaz-une-ouverture-anticipee-de-deux-semaines/ | https://www.alda-avoriaz.eu/news/362/pre-ouverture-du-domaine-skiable-le-week-end-du-29-et-30-novembre-2025.html | https://www.skiresort.com/en/ski-resort/les-portes-du-soleil-morzine-avoriaz-les-gets-chatel-morgins-champery/,medium
La Plagne,,FR,Savoie,Paradiski,Non-glacier,2026-12-12,confirmed_2026_27,3080,225,70.0,70.0,EUR,estimated_from_2025_26,388,4.71,,3.5,3.5,"Bellecote north face, Friolin and Cul du Nant itineraries are serious but less known and no FWT history; Champagny-en-Vanoise is a gateway to Vanoise touring.",https://en.la-plagne.com/discover/ski-area/webcams,"Partial pre-opening (5 lifts, altitude sector, 25 EUR) was scheduled 6-7 Dec 2025 but not verified as run, so the 13 Dec 2025 full opening is used; Bellecote/Chiaupe glacier lifts closed Apr 2023 and dismantled, new Glaciers gondola (Dec 2023) tops at 3080 m on rock - no lift-served glacier skiing (type differs from brief's example; skiresort still lists 3167 m); 2025/26 La Plagne adult day 70 EUR, Paradiski 76 EUR, -15% early/late season; 2026/27 prices not yet published (sales open Sept 2026) Milan route uses OSRM alternative avoiding closed Petit Saint-Bernard.",https://www.skipass-laplagne.com/fr/ouverture | https://www.presse-laplagne.com/en/key-information/lagenda-automne-hiver-2025-2026/ | https://assets.ctfassets.net/4a1jxa5u6hbl/1cr6mh9Th70UGcDFTreMTP/3c78f8ac1f25d078d7165d0a5348a439/Document_tarifaire_hiver_2025.2026VDEF.pdf | https://www.skipass-laplagne.com/en/public-prices | https://en.la-plagne.com/discover/our-opening-information | https://www.mon-sejour-en-montagne.com/actualites/glacier-la-plagne-enleve-ses-remontees-et-rend-55-hectares-a-la-nature/ | https://www.mon-sejour-en-montagne.com/actualites/a-la-plagne-une-nouvelle-telecabine-pour-monter-a-3080-metres/ | https://www.skiresort.com/en/ski-resort/la-plagne-paradiski/ | https://en.la-plagne.com/discover/ski-area/webcams,medium
La Rosière,,FR,Savoie,Espace San Bernardo,Non-glacier,2026-12-12,confirmed_2026_27,2800,156,58.0,58.0,EUR,estimated_from_2025_26,408,5.13,,3.5,3.5,Mont Valaisan sector (2800 m) and the La Thuile side offer good off-piste plus heliskiing from Italy; touring around Petit-Saint-Bernard/Col de la Traversette is decent but not a hub.,https://www.larosiere.net/en/webcams/,"Linked to La Thuile (IT); Petit-Saint-Bernard road closed in winter, so from Italy drive via Mont Blanc tunnel-Bourg-Saint-Maurice; day price: official 2026/27 grid is JS-only, 58 EUR = skiresort main-season day ticket (skipass.com 57 EUR for 2024/25), 'Je skie au soleil' web promo 35 EUR in low season; a La Rosiere France-only pass is also sold Milan route forced via Albertville to avoid closed Petit Saint-Bernard.",https://www.larosiere.net/en/blog/la-rosiere-winter-opening-from-13-december-2025-to-18-april-2026/ | https://www.larosiere.net/en/resort-opening/ | https://www.larosiere.net/en/the-ski-area/ | https://www.larosiere.ski/en/pricing | https://www.skipass.com/stations/forfait-la-rosiere.html | https://www.skiresort.com/en/ski-resort/espace-san-bernardo-la-rosiere-la-thuile/ | https://www.larosiere.net/en/webcams/,medium
La Toussuire,,FR,Savoie,Les Sybelles,Non-glacier,2026-12-12,confirmed_2026_27,2620,275,60.5,60.5,EUR,published_2026_27,288,3.59,,2.5,3.0,"Sunny plateau resort of the Sybelles, mostly groomed intermediate terrain with a few freeride zones and no competition history; touring limited to local summits (Tete de Bellard, Ouillon) with better classics reached from Saint-Sorlin.",https://www.sybelles.ski/en/discover-les-sybelles/la-toussuire/webcam-la-toussuire/,"Same Sybelles pass and dates as Le Corbier; single fixed day price (59.30 in 2025/26, 60.50 in 2026/27); skiresort km used as no official km figure found; access from Italy via Frejus tunnel and A43.",https://www.sybelles.ski/en/temps-fort/opening/ | https://www.sybelles.ski/app/uploads/2025/09/a1-rm-tarifs-publics-sybelles-2025-2026-v16-04-2025.pdf | https://www.sja73.com/forfait-domaine-les-sybelles.html | https://www.alternativemedia.fr/les-sybelles-devoilent-leur-dossier-de-presse-2026-2027-cap-sur-une-domaine-inoubliable | https://la-toussuire.com/info-live/webcams/ | https://www.skiresort.com/en/ski-resort/les-sybelles-le-corbier-la-toussuire-les-bottieres-st-sorlin-st-jean-darves/,medium
Le Corbier,,FR,Savoie,Les Sybelles,Non-glacier,2026-12-12,confirmed_2026_27,2620,275,60.5,60.5,EUR,published_2026_27,289,3.60,,2.5,3.0,"Family-oriented linked domain with marked freeride zones but no FWT/FWQ history or documented off-piste classics; touring interest lies on the Saint-Sorlin side (Aiguilles d'Arves), little from Le Corbier itself.",https://www.sybelles.ski/en/discover-les-sybelles/le-corbier/webcam-le-corbier/,"Single fixed day price all season (59.30 in 2025/26, 60.50 in 2026/27) plus 30 EUR Saturday web promo and -10% from 21 Mar; no official km figure found so skiresort 275 km used (resort markets a higher figure); 2026/27 season 12 Dec 2026-9 Apr 2027; access from Italy via Frejus tunnel and A43, no pass.",https://www.sybelles.ski/en/temps-fort/opening/ | https://www.sybelles.ski/app/uploads/2025/09/a1-rm-tarifs-publics-sybelles-2025-2026-v16-04-2025.pdf | https://www.sja73.com/forfait-domaine-les-sybelles.html | https://www.alternativemedia.fr/les-sybelles-devoilent-leur-dossier-de-presse-2026-2027-cap-sur-une-domaine-inoubliable | https://www.sybelles.ski/en/discover-les-sybelles/ | https://www.skiresort.com/en/ski-resort/les-sybelles-le-corbier-la-toussuire-les-bottieres-st-sorlin-st-jean-darves/ | https://www.parcsetloisirs.fr/actualite/saison-de-ski-2026-2027-les-dates-douverture-de-toutes-les-stations-des-alpes-departement-par-departement,medium
